sentiment,content
neutral,@dizzyupthegirl thankyooooou
happiness,Finished dexter season2    start on season 3 next week?
neutral,@StampfliTurci Ah that would explain the italian colouring
neutral,@erinmusicluver  i thought you liked the name
happiness,@raytoro just kick their asses and call it a day.
anger,Just cleaned mii scrolly ball!
sadness,Last official WVBR DJ shift EVER! Sad Day   Listen online at wvbr.com.
happiness,I need a break! I NEED KITKAT! haha!
neutral,"Oops - correction, it's @nowheremonastry.  Can't seem to spell worth a darn today..."
neutral,"@zaktar No offense, but have you thought about a career change?"
happiness,"One gear, baby!!!"
anger,"For some dumb reason my dresser is sticky on top. And for another reason, a family history book got attached to it  Now the back is jacked"
sadness,"i was awake 7 hours ago, should have checked twitter"
neutral,has got grass all over him
sadness,@alabamawhirly I'll be stuck inside the office all day today
happiness,@petitesuitecb Thanks my girl. True BFF!
happiness,Lil cuz coming round today she 5  aww  haha
happiness,okay the new jonas episode was awesome
anger,"exhausted, but forced into attending a lock-in"
sadness,Work...
happiness,@Jewels14333 Happy Mothers Day
sadness,@xoxoJennxoxox i did a couple hours ago...ive got sun burn and its really uncomfortable
happiness,@StorIbook8 I see. Lol. I'll make it fun for you to follow me tomorrow...I have to go to bed now.
anger,I hate crowds   http://tr.im/mONi
neutral,"@aligoldsworthy @Politics_Cymru you would think so, Ali! I found Evan's web: http://www.evanprice.co.uk/index.htm but no twitters"
sadness,@chillingo  I wanted to beta test but saw the thread after the results were announced
sadness,Well... I hate to leave.... but I must sleep! G'night y'all and hope to chat later!  Enjoy my li'l night owls!
anger,@thehypercube - touched a real live Cube in Hamilton. Dealership closed - couldn't sit in it though
sadness,"wish I was feeling better...I've been holding a potential cold at bay for a few days now &amp; I think it is winning...aches, cough"
anger,"Sick, sick, sick. This sucks. i can't even breathe properly"
neutral,as any1 been up all night like me and now the birds are keeping you awake
happiness,Smith/Amherst mini-reunion last night was fun- how i miss the old days
happiness,"i feel like a bright, new t-shirt.. wish i had one."
happiness,@brendanvalencia where and when is your next show? or upcoming ones? i really want to see you guys
sadness,This is to all the people who have MySpaces: PLEASE ADD!!! http://wwww.myspace.com/fiftyfivethreads it's my friend's clothing line
sadness,Got a Real Bad  headache
neutral,"@jaybranch You too, remember the kids' grenades will go off again as soon as you've tidied the house"
anger,FML. . .i have the worst paper cut on my knuckle from all the papers i was handling. i hat this damn research paper!!!
sadness,another week starts
anger,Ugh! Plane delayed due to weather!  Stuck with another hour to kill.  http://twitpic.com/67xs0
anger,"@StaceyVPofWC i was sent home yest from work, when in again today but feel like hell and burning up with a high temp, got it off hubby"
anger,They wouldn't reverse any of my overdraft fees.
happiness,@DonnieWahlberg sounds like you all had a great night . i'm glad it was successful
happiness,@Debbas My Mom is a nurse practitioner&amp;spent entire life devoted to the field.  The good ones deserve to be recognized! I'll follow her
sadness,@ashleypratt Oh come on!!! You get next week off and I get next week full of exams!
neutral,@katyperry i think it's under a honeymoon by the good life -- either that or it's under a honey moon by joseph arthur.
happiness,Happy Mothers Day
sadness,It's a sad day when Christian Lacroix has to file for bankruptcy
anger,@lizacosta Agreed...this time of the year we should change the motto to &quot;The Soggy State&quot;...my backyard looks like a swimming pool
happiness,HAPPY MOTHERS DAY 2 ME
anger,"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him"
sadness,I didn't get my q'doba today! sad
neutral,@KerronClement Have a good flight!
sadness,so im super sick w/ a fever
anger,I'm being so whiny right now I'm annoying myself  i need to get some rest tonight after Movie Night kid-sitting
anger,@LisaHopeCyrus sry twitterfon is kinda shit i will stay at tweetie  this world is so unfair you always have to pay for good stuff :/
sadness,Well that just sucks. Good way to make me feel bad
neutral,@MindTweets I agree. Waiting for a video to buffer then finding it's just someone reading out loud (which I could do faster in my head) =
anger,@hesa it's definitely worth it; art not withstanding  I hate moving; and hate packing even more..
sadness,watching Jon &amp; Kate plus 8..can't believe they're divorcing
sadness,New picture isn't working
neutral,Safari 4 beta (OS X) is in a crash loop on startup. Back to non- cookie saving Firefox.
happiness,@clovisdied *hugs* me too.
neutral,tiika3 PHONE iiS FUCKiiNG UP AND THE SHiiT AiiNT COOL!!
anger,hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy
happiness,"Reading the bible, praying, then bed"
happiness,@Perpetual_Kid May the 4th be with you
sadness,@johncmayer Lester?  Guessed her?  Yester-day?  You can think of something.  No cop outs now.
happiness,"@My3Daughters well it sounds delicious! i'll be laying out on my patio tom, sans pool!  Enjoy your burgers!!"
sadness,@nick_carter THE LINK DOESNT WOR
neutral,@KimKardashian i was watchin tv yesterday and the media is on u. u were number five i think for worst beach bodies because of ur butt
sadness,"@frogworth hey, have a great gig! We'll have to do exchange of tracks via ze emayal  I'm all lost in loops right now and still writing xx"
happiness,Watching videos on youtube with the bf.  Thinking about going to bed soon.
happiness,happy mothers' day to all your moms!
sadness,@lenje - Still a pity it comes with no lamb though
